catalog,catalog_hier1,catalog_hier2,catalog_hier3,catalog_hier4,med_grp
hydrochlorothiazide-irbesartan,antihypertensives,antihypertensive combinations,angiotensin ii receptor antag & thiazide/thiazide-like,irbesartan-hydrochlorothiazide,rx_loopdiuretics_table
irbesartan-hydrochlorothiazide,antihypertensives,antihypertensive combinations,angiotensin ii receptor antag & thiazide/thiazide-like,irbesartan-hydrochlorothiazide,rx_loopdiuretics_table
hydrochlorothiazide-losartan,antihypertensives,antihypertensive combinations,angiotensin ii receptor antag & thiazide/thiazide-like,losartan potassium-hctz,rx_loopdiuretics_table
hydrochlorothiazide-olmesartan,antihypertensives,antihypertensive combinations,angiotensin ii receptor antag & thiazide/thiazide-like,olmesartan medoxomil-hctz,rx_loopdiuretics_table
hydrochlorothiazide-telmisartan,antihypertensives,antihypertensive combinations,angiotensin ii receptor antag & thiazide/thiazide-like,telmisartan-hctz,rx_loopdiuretics_table
hydrochlorothiazide-valsartan,antihypertensives,antihypertensive combinations,angiotensin ii receptor antag & thiazide/thiazide-like,valsartan-hydrochlorothiazide,rx_loopdiuretics_table
valsartan-hydrochlorothiazide,antihypertensives,antihypertensive combinations,angiotensin ii receptor antag & thiazide/thiazide-like,valsartan-hydrochlorothiazide,rx_loopdiuretics_table
atenolol-chlorthalidone,antihypertensives,antihypertensive combinations,beta blocker & diuretic combinations,atenolol-chlorthalidone,rx_loopdiuretics_table
bisoprolol-hydrochlorothiazide,antihypertensives,antihypertensive combinations,beta blocker & diuretic combinations,bisoprolol-hydrochlorothiazide,rx_loopdiuretics_table
hydrochlorothiazide-metoprolol,antihypertensives,antihypertensive combinations,beta blocker & diuretic combinations,metoprolol-hydrochlorothiazide,rx_loopdiuretics_table
metoprolol-hydrochlorothiazide,antihypertensives,antihypertensive combinations,beta blocker & diuretic combinations,metoprolol-hydrochlorothiazide,rx_loopdiuretics_table
hydrochlorothiazide-propranolol,antihypertensives,antihypertensive combinations,beta blocker & diuretic combinations,propranolol-hctz,rx_loopdiuretics_table
aliskiren-hydrochlorothiazide,antihypertensives,antihypertensive combinations,direct renin inhibitors & thiazide/thiazide-like comb,aliskiren-hydrochlorothiazide,rx_loopdiuretics_table
hydralazine-hydrochlorothiazide,antihypertensives,antihypertensive combinations,vasodilators & thiazides,hydralazine-hctz,rx_loopdiuretics_table
chlorothiazide,chemicals,bulk chemicals - c's,bulk chemicals - ch's,chlorothiazide,rx_loopdiuretics_table
amiloride-hydrochlorothiazide,diuretics,diuretic combinations,diuretic combinations,amiloride-hydrochlorothiazide,rx_loopdiuretics_table
hydrochlorothiazide-spironolactone,diuretics,diuretic combinations,diuretic combinations,spironolactone-hctz,rx_loopdiuretics_table
hydrochlorothiazide-triamterene,diuretics,diuretic combinations,diuretic combinations,triamterene-hctz,rx_loopdiuretics_table
chlorothiazide,diuretics,thiazides and thiazide-like diuretics,thiazides and thiazide-like diuretics,chlorothiazide,rx_loopdiuretics_table
chlorothiazide,diuretics,thiazides and thiazide-like diuretics,thiazides and thiazide-like diuretics,chlorothiazide sodium,rx_loopdiuretics_table
chlorothiazide sodium,diuretics,thiazides and thiazide-like diuretics,thiazides and thiazide-like diuretics,chlorothiazide sodium,rx_loopdiuretics_table
chlorthalidone,diuretics,thiazides and thiazide-like diuretics,thiazides and thiazide-like diuretics,chlorthalidone,rx_loopdiuretics_table
hydrochlorothiazide,diuretics,thiazides and thiazide-like diuretics,thiazides and thiazide-like diuretics,hydrochlorothiazide,rx_loopdiuretics_table
indapamide,diuretics,thiazides and thiazide-like diuretics,thiazides and thiazide-like diuretics,indapamide,rx_loopdiuretics_table
methyclothiazide,diuretics,thiazides and thiazide-like diuretics,thiazides and thiazide-like diuretics,methyclothiazide,rx_loopdiuretics_table
metolazone,diuretics,thiazides and thiazide-like diuretics,thiazides and thiazide-like diuretics,metolazone,rx_loopdiuretics_table
amiloride-hydrochlorothiazide,,,,,rx_loopdiuretics_table
chlorthalidone,,,,,rx_loopdiuretics_table
deserpidine-methyclothiazide,,,,,rx_loopdiuretics_table
hydralazine/hydrochlorothiazide/reserpine,,,,,rx_loopdiuretics_table
hydrochlorothiazide,,,,,rx_loopdiuretics_table
indapamide,,,,,rx_loopdiuretics_table
irbesartan-hydrochlorothiazide,,,,,rx_loopdiuretics_table
methyldopa-chlorothiazide,,,,,rx_loopdiuretics_table
metolazone,,,,,rx_loopdiuretics_table
everolimus,assorted classes,immunosuppressive agents,macrolide immunosuppressants,everolimus,rx_macrolideimmunosuppressants_table
sirolimus,assorted classes,immunosuppressive agents,macrolide immunosuppressants,sirolimus,rx_macrolideimmunosuppressants_table
tacrolimus,assorted classes,immunosuppressive agents,macrolide immunosuppressants,tacrolimus,rx_macrolideimmunosuppressants_table
pimecrolimus,dermatologicals,immunosuppressive agents - topical,macrolide immunosuppressants - topical,pimecrolimus,rx_macrolideimmunosuppressants_table
pimecrolimus topical,dermatologicals,immunosuppressive agents - topical,macrolide immunosuppressants - topical,pimecrolimus,rx_macrolideimmunosuppressants_table
tacrolimus,dermatologicals,immunosuppressive agents - topical,macrolide immunosuppressants - topical,tacrolimus,rx_macrolideimmunosuppressants_table
tacrolimus topical,dermatologicals,immunosuppressive agents - topical,macrolide immunosuppressants - topical,tacrolimus,rx_macrolideimmunosuppressants_table
azithromycin,macrolides,azithromycin,azithromycin,azithromycin,rx_macrolides_table
azithromycin,macrolides,azithromycin,azithromycin,azithromycin hydrogencitrate,rx_macrolides_table
clarithromycin,macrolides,clarithromycin,clarithromycin,clarithromycin,rx_macrolides_table
erythromycin,macrolides,erythromycins,erythromycins,erythromycin base,rx_macrolides_table
erythromycin base,macrolides,erythromycins,erythromycins,erythromycin base,rx_macrolides_table
erythromycin,macrolides,erythromycins,erythromycins,erythromycin base coated,rx_macrolides_table
erythromycin base coated,macrolides,erythromycins,erythromycins,erythromycin base coated,rx_macrolides_table
erythromycin,macrolides,erythromycins,erythromycins,erythromycin ethylsuccinate,rx_macrolides_table
erythromycin ethylsuccinate,macrolides,erythromycins,erythromycins,erythromycin ethylsuccinate,rx_macrolides_table
erythromycin,macrolides,erythromycins,erythromycins,erythromycin lactobionate,rx_macrolides_table
erythromycin lactobionate,macrolides,erythromycins,erythromycins,erythromycin lactobionate,rx_macrolides_table
erythromycin,macrolides,erythromycins,erythromycins,erythromycin stearate,rx_macrolides_table
erythromycin stearate,macrolides,erythromycins,erythromycins,erythromycin stearate,rx_macrolides_table
fidaxomicin,macrolides,fidaxomicin,fidaxomicin,fidaxomicin,rx_macrolides_table
magaldrate,antacids,antacids - magnesium salts,antacids - magnesium salts,magaldrate,rx_magnesium_table
magnesium carbonate (antacid),antacids,antacids - magnesium salts,antacids - magnesium salts,magnesium carbonate (antacid),rx_magnesium_table
magnesium oxide,antacids,antacids - magnesium salts,antacids - magnesium salts,magnesium oxide,rx_magnesium_table
magnesium trisilicate,antacids,antacids - magnesium salts,antacids - magnesium salts,magnesium trisilicate,rx_magnesium_table
magnesium,minerals & electrolytes,magnesium,magnesium,magnesium,rx_magnesium_table
magnesium gluconate,minerals & electrolytes,magnesium,magnesium,magnesium,rx_magnesium_table
magnesium aspartate,minerals & electrolytes,magnesium,magnesium,magnesium aspartate hcl,rx_magnesium_table
magnesium aspartate hcl,minerals & electrolytes,magnesium,magnesium,magnesium aspartate hcl,rx_magnesium_table
magnesium carbonate,minerals & electrolytes,magnesium,magnesium,magnesium carbonate,rx_magnesium_table
magnesium chloride,minerals & electrolytes,magnesium,magnesium,magnesium chloride,rx_magnesium_table
magnesium citrate,minerals & electrolytes,magnesium,magnesium,magnesium citrate,rx_magnesium_table
magnesium gluconate,minerals & electrolytes,magnesium,magnesium,magnesium gluconate,rx_magnesium_table
magnesium lactate,minerals & electrolytes,magnesium,magnesium,magnesium lactate,rx_magnesium_table
magnesium oxide,minerals & electrolytes,magnesium,magnesium,magnesium oxide,rx_magnesium_table
,minerals & electrolytes,magnesium,magnesium,magnesium oxide,rx_magnesium_table
magnesium sulfate,minerals & electrolytes,magnesium,magnesium,magnesium sulfate,rx_magnesium_table
,minerals & electrolytes,magnesium,magnesium,magnesium sulfate,rx_magnesium_table
magnesium sulfate,minerals & electrolytes,magnesium,magnesium,magnesium sulfate in d5w,rx_magnesium_table
magnesium sulfate in d5w,minerals & electrolytes,magnesium,magnesium,magnesium sulfate in d5w,rx_magnesium_table
magnesium aspartate,minerals & electrolytes,magnesium,magnesium,,rx_magnesium_table
magnesium bisglycinate,minerals & electrolytes,magnesium,magnesium,,rx_magnesium_table
magnesium glycinate,minerals & electrolytes,magnesium,magnesium,,rx_magnesium_table
magnesium malate,minerals & electrolytes,magnesium,magnesium,,rx_magnesium_table
magnesium sulfate-nacl,minerals & electrolytes,magnesium,magnesium,,rx_magnesium_table
mag aspart-potassium aspart,minerals & electrolytes,magnesium,magnesium combinations,mag aspart-potassium aspart,rx_magnesium_table
magnesium chloride-calcium,minerals & electrolytes,magnesium,magnesium combinations,magnesium chloride-calcium,rx_magnesium_table
magnesium cl-calcium carbonate,minerals & electrolytes,magnesium,magnesium combinations,magnesium cl-calcium carbonate,rx_magnesium_table
magnesium oxide-pyridoxine hcl,minerals & electrolytes,magnesium,magnesium combinations,magnesium oxide-pyridoxine hcl,rx_magnesium_table
multivitamin with minerals,minerals & electrolytes,magnesium,magnesium combinations,magnesium oxide-pyridoxine hcl,rx_magnesium_table
magnesium-calcium-folic acid,minerals & electrolytes,magnesium,magnesium combinations,magnesium-calcium-folic acid,rx_magnesium_table
magnesium-potassium,minerals & electrolytes,magnesium,magnesium combinations,magnesium-potassium,rx_magnesium_table
magnesium-potassium-pyridox,minerals & electrolytes,magnesium,magnesium combinations,magnesium-potassium-pyridox,rx_magnesium_table
mag threonate-niacinamide,minerals & electrolytes,magnesium,magnesium combinations,,rx_magnesium_table
magnesium-zinc,minerals & electrolytes,magnesium,magnesium combinations,,rx_magnesium_table
alogliptin-metformin hcl,antidiabetics,antidiabetic combinations,dipeptidyl peptidase-4 inhibitor-biguanide combinations,alogliptin-metformin hcl,rx_metformin_table
linagliptin-metformin hcl,antidiabetics,antidiabetic combinations,dipeptidyl peptidase-4 inhibitor-biguanide combinations,linagliptin-metformin hcl,rx_metformin_table
metformin-saxagliptin,antidiabetics,antidiabetic combinations,dipeptidyl peptidase-4 inhibitor-biguanide combinations,saxagliptin-metformin,rx_metformin_table
saxagliptin-metformin,antidiabetics,antidiabetic combinations,dipeptidyl peptidase-4 inhibitor-biguanide combinations,saxagliptin-metformin,rx_metformin_table
metformin-sitagliptin,antidiabetics,antidiabetic combinations,dipeptidyl peptidase-4 inhibitor-biguanide combinations,sitagliptin-metformin hcl,rx_metformin_table
sitagliptin-metformin hcl,antidiabetics,antidiabetic combinations,dipeptidyl peptidase-4 inhibitor-biguanide combinations,sitagliptin-metformin hcl,rx_metformin_table
metformin-repaglinide,antidiabetics,antidiabetic combinations,meglitinide-biguanide combinations,repaglinide-metformin hcl,rx_metformin_table
glipizide-metformin,antidiabetics,antidiabetic combinations,sulfonylurea-biguanide combinations,glipizide-metformin hcl,rx_metformin_table
glipizide-metformin hcl,antidiabetics,antidiabetic combinations,sulfonylurea-biguanide combinations,glipizide-metformin hcl,rx_metformin_table
glyburide-metformin,antidiabetics,antidiabetic combinations,sulfonylurea-biguanide combinations,glyburide-metformin,rx_metformin_table
metformin-pioglitazone,antidiabetics,antidiabetic combinations,thiazolidinedione-biguanide combinations,pioglitazone hcl-metformin hcl,rx_metformin_table
pioglitazone hcl-metformin hcl,antidiabetics,antidiabetic combinations,thiazolidinedione-biguanide combinations,pioglitazone hcl-metformin hcl,rx_metformin_table
metformin-rosiglitazone,antidiabetics,antidiabetic combinations,thiazolidinedione-biguanide combinations,rosiglitazone-metformin,rx_metformin_table
canagliflozin-metformin hcl,antidiabetics,antidiabetic combinations,,,rx_metformin_table
dapagliflozin-metformin hcl,antidiabetics,antidiabetic combinations,,,rx_metformin_table
empagliflozin-metformin hcl,antidiabetics,antidiabetic combinations,,,rx_metformin_table
ertugliflozin-metformin hcl,antidiabetics,antidiabetic combinations,,,rx_metformin_table
metformin,antidiabetics,biguanides,biguanides,metformin hcl,rx_metformin_table
metformin hcl,antidiabetics,biguanides,biguanides,metformin hcl,rx_metformin_table
glyburide-metformin,antiparkinson agents,antiparkinson anticholinergics,antiparkinson anticholinergics,benztropine mesylate,rx_metformin_table
metformin hcl,chemicals,bulk chemicals - m's,bulk chemicals - me's,metformin hcl,rx_metformin_table
metformin & diet manage prod,,,,,rx_metformin_table
metformin hcl,,,,,rx_metformin_table
rosiglitazone-metformin,,,,,rx_metformin_table
methimazole,antiparkinson agents,antiparkinson dopaminergics,levodopa combinations,carbidopa-levodopa,rx_methimazole_table
methimazole,thyroid agents,antithyroid agents,antithyroid agents,methimazole,rx_methimazole_table
methimazole,,,,,rx_methimazole_table
apap/caffeine/isometheptene mucate,migraine products,migraine combinations,migraine combinations,apap-isometheptene-caffeine,rx_migraine_table
isometheptene-caffeine-apap,migraine products,migraine combinations,migraine combinations,apap-isometheptene-caffeine,rx_migraine_table
apap/dichloralphenazone/isometheptene,migraine products,migraine combinations,migraine combinations,apap-isometheptene-dichloral,rx_migraine_table
isometheptene-dichloral-apap,migraine products,migraine combinations,migraine combinations,apap-isometheptene-dichloral,rx_migraine_table
sumatriptan & camphor-menthol,migraine products,migraine combinations,migraine combinations,,rx_migraine_table
dihydroergotamine,migraine products,migraine products,migraine products,dihydroergotamine mesylate,rx_migraine_table
dihydroergotamine mesylate,migraine products,migraine products,migraine products,dihydroergotamine mesylate,rx_migraine_table
ergotamine,migraine products,migraine products,migraine products,ergotamine tartrate,rx_migraine_table
ergotamine tartrate,migraine products,migraine products,migraine products,ergotamine tartrate,rx_migraine_table
diclofenac,migraine products,migraine products - nsaids,migraine products - nsaids,diclofenac potassium,rx_migraine_table
diclofenac potassium(migraine),migraine products,migraine products - nsaids,migraine products - nsaids,diclofenac potassium,rx_migraine_table
adalimumab,analgesics - anti-inflammatory,anti-tnf-alpha - monoclonoal antibodies,anti-tnf-alpha - monoclonoal antibodies,adalimumab,rx_monoab_table
golimumab,analgesics - anti-inflammatory,anti-tnf-alpha - monoclonoal antibodies,anti-tnf-alpha - monoclonoal antibodies,golimumab,rx_monoab_table
omalizumab,antiasthmatic and bronchodilator agents,antiasthmatic - monoclonal antibodies,anti-ige monoclonal antibodies,omalizumab,rx_monoab_table
alemtuzumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,alemtuzumab,rx_monoab_table
cetuximab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,cetuximab,rx_monoab_table
ipilimumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,ipilimumab,rx_monoab_table
ofatumumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,ofatumumab,rx_monoab_table
panitumumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,panitumumab,rx_monoab_table
pertuzumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,pertuzumab,rx_monoab_table
rituximab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,rituximab,rx_monoab_table
trastuzumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,trastuzumab,rx_monoab_table
atezolizumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
avelumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
cemiplimab-rwlc,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
daratumumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
durvalumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
elotuzumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
isatuximab-irfc,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
mogamulizumab-kpkc,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
nivolumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
obinutuzumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
olaratumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
pembrolizumab,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
rituximab-abbs,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
rituximab-pvvr,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
tafasitamab-cxix,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
trastuzumab-anns,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
trastuzumab-dkst,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
trastuzumab-dttb,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
trastuzumab-pkrb,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
trastuzumab-qyyp,antineoplastics and adjunctive therapies,antineoplastic - antibodies,antineoplastic - monoclonal antibodies,,rx_monoab_table
basiliximab,assorted classes,immunosuppressive agents,monoclonal antibodies,basiliximab,rx_monoab_table
daclizumab,assorted classes,immunosuppressive agents,monoclonal antibodies,daclizumab,rx_monoab_table
muromonab-cd3,assorted classes,immunosuppressive agents,monoclonal antibodies,muromonab cd3,rx_monoab_table
emapalumab-lzsg,assorted classes,immunosuppressive agents,monoclonal antibodies,,rx_monoab_table
inebilizumab-cdon,assorted classes,immunosuppressive agents,monoclonal antibodies,,rx_monoab_table
palivizumab,passive immunizing agents,monoclonal antibodies,antiviral monoclonal antibodies,palivizumab,rx_monoab_table
natalizumab,psychotherapeutic and neurological agents - misc.,multiple sclerosis agents,multiple sclerosis agents - monoclonal antibodies,natalizumab,rx_monoab_table
alemtuzumab,psychotherapeutic and neurological agents - misc.,multiple sclerosis agents,multiple sclerosis agents - monoclonal antibodies,,rx_monoab_table
daclizumab,psychotherapeutic and neurological agents - misc.,multiple sclerosis agents,multiple sclerosis agents - monoclonal antibodies,,rx_monoab_table
ocrelizumab,psychotherapeutic and neurological agents - misc.,multiple sclerosis agents,multiple sclerosis agents - monoclonal antibodies,,rx_monoab_table
ofatumumab,psychotherapeutic and neurological agents - misc.,multiple sclerosis agents,multiple sclerosis agents - monoclonal antibodies,,rx_monoab_table
eplerenone,antihypertensives,selective aldosterone receptor antagonists (saras),selective aldosterone receptor antagonists (saras),eplerenone,rx_mra_table
niacinamide-spironolactone,dermatologicals,acne products,acne combinations,,rx_mra_table
hydrochlorothiazide-spironolactone,diuretics,diuretic combinations,diuretic combinations,spironolactone-hctz,rx_mra_table
spironolactone-hctz,diuretics,diuretic combinations,diuretic combinations,spironolactone-hctz,rx_mra_table
spironolactone,diuretics,potassium sparing diuretics,potassium sparing diuretics,spironolactone,rx_mra_table
spironolactone,,,,,rx_mra_table
mycophenolate mofetil,assorted classes,immunosuppressive agents,inosine monophosphate dehydrogenase inhibitors,mycophenolate mofetil,rx_mycophenolate_table
mycophenolate mofetil (cellcept),assorted classes,immunosuppressive agents,inosine monophosphate dehydrogenase inhibitors,mycophenolate mofetil,rx_mycophenolate_table
mycophenolate mofetil (cellcept),assorted classes,immunosuppressive agents,inosine monophosphate dehydrogenase inhibitors,mycophenolate mofetil hcl,rx_mycophenolate_table
mycophenolate mofetil hcl,assorted classes,immunosuppressive agents,inosine monophosphate dehydrogenase inhibitors,mycophenolate mofetil hcl,rx_mycophenolate_table
mycophenolate sodium,assorted classes,immunosuppressive agents,inosine monophosphate dehydrogenase inhibitors,mycophenolate sodium,rx_mycophenolate_table
mycophenolic acid,assorted classes,immunosuppressive agents,inosine monophosphate dehydrogenase inhibitors,mycophenolate sodium,rx_mycophenolate_table
niacin,antihyperlipidemics,nicotinic acid derivatives,nicotinic acid derivatives,niacin (antihyperlipidemic),rx_niacin_table
niacin (antihyperlipidemic),antihyperlipidemics,nicotinic acid derivatives,nicotinic acid derivatives,niacin (antihyperlipidemic),rx_niacin_table
lovastatin-niacin,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitor combinations,niacin-lovastatin,rx_niacin_table
niacin-simvastatin,antihyperlipidemics,hmg coa reductase inhibitors,hmg coa reductase inhibitor combinations,niacin-simvastatin,rx_niacin_table
niacin-simvastatin,,,,,rx_niacin_table
isosorbide dinitrate,antianginal agents,nitrates,nitrates,isosorbide dinitrate,rx_nitrates_table
isosorbide mononitrate,antianginal agents,nitrates,nitrates,isosorbide mononitrate,rx_nitrates_table
nitroglycerin,antianginal agents,nitrates,nitrates,nitroglycerin,rx_nitrates_table
nitroglycerin,antianginal agents,nitrates,nitrates,nitroglycerin in d5w,rx_nitrates_table
nitroglycerin in d5w,antianginal agents,nitrates,nitrates,nitroglycerin in d5w,rx_nitrates_table
celecoxib,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),cyclooxygenase 2 (cox-2) inhibitors,celecoxib,rx_nsaid_table
off market,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),cyclooxygenase 2 (cox-2) inhibitors,,rx_nsaid_table
diclofenac-misoprostol,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,diclofenac-misoprostol,rx_nsaid_table
ibuprofen & caffeine-vitamins,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,ibuprofen & caffeine-vitamins,rx_nsaid_table
famotidine-ibuprofen,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,ibuprofen-famotidine,rx_nsaid_table
ibuprofen-famotidine,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,ibuprofen-famotidine,rx_nsaid_table
esomeprazole-naproxen,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,naproxen-esomeprazole,rx_nsaid_table
naproxen-esomeprazole,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,naproxen-esomeprazole,rx_nsaid_table
celecoxib-capsaicin-menthol,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,,rx_nsaid_table
diclofen-ranitidine-capsaicin,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,,rx_nsaid_table
diclofenac sodium-capsaicin,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,,rx_nsaid_table
diclofenac-menthol-camphor,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,,rx_nsaid_table
diclofenac-ranitidi-lido-prilo,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,,rx_nsaid_table
ibuprofen-acetaminophen,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,,rx_nsaid_table
ketorolac & bupivacaine & lido,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,,rx_nsaid_table
ketorolac trometh & lidocaine,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,,rx_nsaid_table
ketorolac-bupiv-ketamine,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agent combinations,,rx_nsaid_table
diclofenac,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),diclofenac potassium,rx_nsaid_table
diclofenac potassium,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),diclofenac potassium,rx_nsaid_table
diclofenac,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),diclofenac sodium,rx_nsaid_table
diclofenac sodium,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),diclofenac sodium,rx_nsaid_table
etodolac,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),etodolac,rx_nsaid_table
fenoprofen,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),fenoprofen calcium,rx_nsaid_table
fenoprofen calcium,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),fenoprofen calcium,rx_nsaid_table
flurbiprofen,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),flurbiprofen,rx_nsaid_table
ibuprofen,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),ibuprofen,rx_nsaid_table
ibuprofen,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),ibuprofen lysine,rx_nsaid_table
ibuprofen lysine,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),ibuprofen lysine,rx_nsaid_table
ibuprofen-liniment,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),ibuprofen-liniment,rx_nsaid_table
indomethacin,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),indomethacin,rx_nsaid_table
indomethacin,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),indomethacin sodium,rx_nsaid_table
indomethacin sodium,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),indomethacin sodium,rx_nsaid_table
ketoprofen,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),ketoprofen,rx_nsaid_table
ketorolac,analgesics - anti-inflammatory,nonsteroidal anti-inflammatory agents (nsaids),nonsteroidal anti-inflammatory agents (nsaids),ketorolac tromethamine,rx_nsaid_table
